date,tsi_1au,tsi_true_earth
2003-07-26,1361.4641,1319.7407
2003-07-27,1361.4485,1319.9818
2003-07-28,1361.3568,1320.1905
2003-07-29,1361.3335,1320.4393
2003-07-30,1361.3053,1320.7086
2003-07-31,1361.2798,1320.9892
2003-08-01,1361.2306,1321.324
2003-08-02,1361.3046,1321.6972
2003-08-03,1361.127,1321.8766
2003-08-04,1360.9685,1322.0904
2003-08-05,1360.7764,1322.3149
2003-08-06,1360.648,1322.565
2003-08-07,1360.564,1322.8901
2003-08-08,1360.5004,1323.2325
2003-08-09,1360.7583,1323.906
2003-08-10,1361.1493,1324.7233
2003-08-11,1361.4132,1325.4145
2003-08-12,1361.5189,1325.9938
2003-08-13,1361.2034,1326.0918
2003-08-14,1360.9422,1326.2407
2003-08-15,1360.8795,1326.7144
2003-08-16,1361.0553,1327.3466
2003-08-17,1361.3566,1328.1285
2003-08-18,1361.5605,1328.8038
2003-08-19,1361.5882,1329.3445
2003-08-20,1361.4613,1329.7023
2003-08-21,1361.2014,1329.9695
2003-08-22,1361.0386,1330.3417
2003-08-23,1361.091,1330.9132
2003-08-24,1361.1924,1331.5581
2003-08-25,1361.398,1332.3181
2003-08-26,1361.4296,1332.9654
2003-08-27,1361.4086,1333.4885
2003-08-28,1361.4127,1334.057
2003-08-29,1361.4878,1334.7503
2003-08-30,1361.58,1335.471
2003-08-31,1361.6695,1336.1887
2003-09-01,1361.6405,1336.8014
2003-09-02,1361.5573,1337.4026
2003-09-03,1361.4425,1337.9153
2003-09-04,1361.377,1338.4989
2003-09-05,1361.4627,1339.2654
2003-09-06,1361.6505,1340.1355
2003-09-07,1361.6971,1340.866
2003-09-08,1361.5462,1341.3889
2003-09-09,1361.3817,1341.9433
2003-09-10,1361.1501,1342.4054
2003-09-11,1361.1154,1343.0731
2003-09-12,1361.2183,1343.8489
2003-09-13,1361.3535,1344.6703
2003-09-14,1361.4641,1345.4704
2003-09-15,1361.424,1346.1475
2003-09-16,1361.2741,1346.7643
2003-09-17,1361.1393,1347.2711
2003-09-18,1361.1912,1348.0811
2003-09-19,1361.3585,1348.8851
2003-09-20,1361.4414,1349.7671
2003-09-21,1361.386,1350.4267
2003-09-22,1361.2923,1351.1492
2003-09-23,1361.1291,1351.6865
2003-09-24,1360.9214,1352.1719
2003-09-25,1360.8707,1352.8766
2003-09-26,1360.8945,1353.77
2003-09-27,1360.987,1354.5343
2003-09-28,1360.9915,1355.3198
2003-09-29,1361.2102,1356.3135
2003-09-30,1361.4087,1357.3219
2003-10-01,1361.4873,1358.2003
2003-10-02,1361.4277,1358.9153
2003-10-03,1361.3956,1359.6687
2003-10-04,1361.2933,1360.3504
2003-10-05,1361.2561,1361.1171
2003-10-06,1361.2141,1361.8877
2003-10-07,1361.1238,1362.6419
2003-10-08,1361.1619,1363.4378
2003-10-09,1361.3229,1364.2817
2003-10-10,1361.5325,1365.3632
2003-10-11,1361.56,1366.1872
2003-10-12,1361.395,1366.7935
2003-10-13,1361.2656,1367.4383
2003-10-14,1361.2196,1368.1979
2003-10-15,1361.1873,1368.8824
2003-10-16,1361.2677,1369.7352
2003-10-17,1361.3922,1370.6333
2003-10-18,1361.4701,1371.4695
2003-10-19,1361.1922,1371.9391
2003-10-20,1360.5277,1372.0082
2003-10-21,1359.7606,1372.0301
2003-10-22,1359.3724,1372.349
2003-10-23,1359.1428,1372.8495
2003-10-24,1358.9567,1373.4452
2003-10-25,1358.7132,1373.9422
2003-10-26,1358.636,1374.6287
2003-10-27,1358.2072,1374.9582
2003-10-28,1357.437,1374.9591
2003-10-29,1357.0238,1375.2479
2003-10-30,1357.3428,1376.3046
2003-10-31,1358.2834,1378.0112
2003-11-01,1359.5012,1380.0041
2003-11-02,1360.5443,1381.7979
2003-11-03,1361.2403,1383.2187
2003-11-04,1361.5522,1384.288
2003-11-05,1361.5657,1384.9908
2003-11-06,1361.4981,1385.6512
2003-11-07,1361.3348,1386.1625
2003-11-08,1361.1481,1386.6363
2003-11-09,1361.0163,1387.149
2003-11-10,1360.9607,1387.8025
